編號	題名	型式	朝代	作者	內容
259	四十七歲生日		現代	胡適	賣藥遊方廿二年，人間浪說小神仙。於今迴向人間去，洗淨蓬萊再上天。
260	賀元任ヽ□卿銀婚紀念的小詩		現代	胡適	蜜蜜甜甜二十年，人人都說好姻綠。新娘欠我香香禮，記得還時要利錢！
261	無題		現代	胡適	電報尾上他加了一個字，我看了百分高興。樹枝都像在跟著我發瘋。凍風吹來，我也不覺冷。風呵，你儘管吹！枯葉呵，你飛一個痛快！我要細細的想想他，因為他那個字是「愛」！
262	*		宋	陸放翁	江閣欲開千尺像，雲龕先定此規模。斜陽徙倚空長歎：嘗試成功自古無。
263	蝴蝶		現代	胡適	兩個黃蝴蝶，雙雙飛上天。不知為什麼，一個忽飛還。剩下那一個，孤單怪可憐。也無心上天，天上太孤單。
264	他 (思祖國也)		現代	胡適	你心裏愛他，莫說不愛他。要看你愛他，且等人害他。倘有人害他，你如何對他？倘有人愛他，更如何待他？
265	中秋		現代	胡適	小星躲盡大星少，果然今夜清光多！夜半月從江上過，一江江水變銀河。
266	虞美人		現代	胡適	先生幾日魂顛倒，他的書來了！雖然紙短卻情長，帶上兩三白字又何妨？可憐一對癡兒女，不慣分離苦。別來還沒幾多時，早已書來細問幾時歸！
267	江上		現代	胡適	雨腳渡江來，山頭衝霧出。雨過霧亦收，江樓看落日。
268	十二月五夜月		現代	胡適	明月照我床，臥看不肯睡。窗上青藤影，隨風舞娟媚。我愛明月光，更不想什麼。月可使人愁，定不能愁我。月冷寒江靜，心頭百念消。欲眠君照我，無夢到明朝！
269	沁園春		現代	胡適	棄我去者，二十五年，不可重來。看江明雪霽，吾當壽我，且須高詠，不用啣杯。種種從前，都成今我，莫更思量更莫哀。從今後，要怎麼收獲，先那麼栽。忽然異想天開，似天上諸仙采藥回。有丹能卻老，鞭能縮地，芝能點石，觸處金堆。我笑諸仙，諸仙笑我。敬謝諸仙我不才，葫蘆裏也有些微物，試與君猜。
270	寒江		現代	胡適	江上還飛雪，遙山霧未開。浮冰三百畝，載雪下江來。
271	生查子		現代	胡適	前度月來時，仔細思量過。今度月重來，獨自臨江坐。風打沒遮樓，月照無眠我。從來沒見他，夢也如何做？
272	景不徙篇		現代	胡適	飛鳥過江來，投影在江水。鳥逝水長流，此影何嘗徙？風過鏡平湖，湖面生輕縐。湖更鏡平時，畢竟難如舊。為他起一念，十年終不改。有召即重來，若亡而實在。
273	將歸詩之一 —— 朋友篇		現代	胡適	粗飯還可飽，破衣不算醜。人生無好友，如身無足手。吾生所交遊，益我皆最厚。少年恨污俗，反與污俗偶。自視六尺軀，不值一杯酒。倘非朋友力，吾醉死已久。從此謝諸友，立身重抖擻。去國今七年，此意未敢負。新交遍天下，難細數誰某。所最敬愛者，也有七八九。學理互分剖，過失賴彈糾。清夜每自思，此身非吾有：一半屬父母，一半屬朋友。便即此一念，足鞭策吾後。今當重歸來，為國效奔走。可憐程鄭張，少年骨已朽。作歌謝吾友，泉下人知否？
274	將歸詩之二 —— 文學篇 (2-1)		現代	胡適	我初來此邦，所志在耕種。文章真小技，救國不中用。帶來千卷書，一一盡分送。種菜與種樹，往往來入夢。忽忽復幾時，忽大笑吾癡。救國千萬事，何事不當為？而吾性所適，僅有一二宜。逆天而拂性，所得終希微。從此改所業，講學復議政。故國方新造，紛爭久未定。學以濟時艱，要與時相應。文章盛世事，今日何消問？明年任與楊，遠道來就我。山城風雪夜，枯坐殊未可。烹茶更賦詩，有倡還須和。詩爐久灰冷，從此生新火。
275	將歸詩之二 —— 文學篇 (2-2)		現代	胡適	前年任與梅，聯盟成勁敵。與我論文學，經歲猶未歇。吾敵雖未降，吾志乃更決。暫不與君辯，且著嘗試集。回首四年來，積詩可百首。做詩的興味，大半靠朋友：佳句共欣賞，論難見忠厚。如今遠別去，此樂難再有。暫別不須悲，諸君會當歸。請與諸君期：明年荷花時，春申江之湄，有酒盈清卮，無客不能詩，同作歸來辭！
276	百字令		現代	胡適	幾天風霧，險些兒把月圓時孤負。待得他來，又還被如許浮雲遮住！多謝天風，吹開明月，萬頃銀波怒！孤舟載月，海天衝浪西去！念我多少故人，如今都在明月飛來處。別後相思如此月，繞遍地球無數！幾顆疏星，長天空闊，有濕衣涼露。低頭自語：「吾鄉真在何許？」
277	鴿子		現代	胡適	雲淡天高，好一片晚秋天氣！有一群鴿子，在空中遊戲。看他們三三兩兩，迴環來往，夷猶如意，—— 忽地裏，翻身映日，白羽襯青天，十分鮮麗！
278	三溪路上大雪裏一個紅葉		現代	胡適	雪色滿空山，抬頭忽見你！我不知何故，心裏狠歡喜。踏雪摘下來，夾在小書裏。還想做首詩，寫我歡喜的道理。不料此理狠難寫，抽出筆來還擱起。
279	新婚雜詩 (5-1)		現代	胡適	十三年沒見面的相思，於今完結。把一樁樁傷心舊事，從頭細說。你莫說你對不住我，我也不說我對不住你，—— 且牢牢記取這十二月三十夜的中天明月！
280	新婚雜詩 (5-2)		現代	胡適	回首十四年前，初春冷雨中簫鼓，有個人來看女婿。匆匆別後，便輕將愛女相許。只恨我十年作客，歸來遲暮，到如今，待雙雙登堂拜母，只剩得荒草孤墳，斜陽淒楚！最傷心，不堪重聽，燈前人訴，阿母臨終語！
281	新婚雜詩 (5-3)		現代	胡適	重山疊嶂，都似一重重奔濤東向！山腳下幾個村鄉，一百年來多少興亡，不堪回想！——更不須回想！想十萬萬年前，這多少山頭，都不過是大海裏一些兒微波暗浪！
282	新婚雜詩 (5-4)		現代	胡適	記得那年，你家辦了嫁粧，我家備了新房，只不曾捉到我這個新郎！這十年來，換了幾朝帝王，看了多少興亡，銹了你嫁奩中的刀剪，改了你多嫁衣新樣，更老了你和我人兒一雙！—— 只有那十年陳的爆竹，越陳偏越響！
283	新婚雜詩 (5-5)		現代	胡適	十幾年的相思剛才完結，沒滿月的夫妻又匆匆分別。昨夜嬁前絮語，全不管天上月圓月缺。今宵別後，便覺得這窗前明月，格外清圓，格外親切！你該笑我，飽嘗了作客情懷，別離滋味，還逃不了這個時節！
284	四月二十五夜		現代	胡適	吹了燈兒，捲開窗幕，放進月光滿地。對著這般月色教我要睡也如何睡！我待要起來遮著窗兒，推出月光，又覺得有點對他月亮兒不起。我終日裏講王充，仲長統，阿里士多德，愛比苦拉斯，......幾乎全忘了我自己！多謝你殷勤好月，提起我過來哀怨，過來情思。我就千思萬想，直到月落天明，也甘心願意！怕明朝，雲密遮天，風狂打屋，何處能尋你！
285	看花		現代	胡適	院子裏開著兩朵玉蘭花，三朵月季花。紅的花，紫的花，襯著綠葉，映著日光，怪可愛的。沒人看花，花還是可愛。但是我看花，花也好像更高興了。我不看花，也不怎麼。但我看花時，我也更高興了。還是我因為見了花高興，故覺得花休高興呢？還是因為花見了我高興，故我也高興呢？
286	如夢令		現代	胡適	他把門兒深掩，不肯出來相見。難道不關情？怕是因情生怨。休怨！休怨！他日憑君發遣。幾次曾看小像，幾次傳書來往，見見又何妨！休做女孩兒相。凝想，凝想，想是這般模樣！天上風吹雲破，月照你我兩個。問你去年時，為甚閉門深躲？「誰躲？誰躲？那是去年的我！」
287	民國七年十二月一日奔喪到家		現代	胡適	往日歸來，纔望見竹竿尖，纔望見石村，便心頭亂跳，遙知前面，老親望我，含淚相迎。「來了？好呀！」——更無別話，說盡心頭歡喜悲酸無限情。偷回首，揩乾淚眼，招呼茶飯，款待歸人。今朝，——依舊竹竿尖，依舊溪橋，——只竹了我的心頭狂跳！——何消說一世的深恩未報！何消說十年來的家庭夢想，都一一雲散煙銷！——只今日到家時，更何處能尋他那一聲「好呀，來了！」
288	關不住了		現代	胡適	我說：「我把心收起，像人家把門關了，叫愛情生生的餓死，也許不再和我為難了。」但是五月的濕風，時時從屋頂上吹來。還有那街上的琴調一陣陣的飛來。一屋裏都是太陽光，這時候愛情有點醉了，他說：「我是關不住的，我要把你的心打碎了！」
289	應該		現代	胡適	他也許愛我，——也許還愛我，——但他總勸我莫再愛他。他常常怪我。這一天，他眼淚汪汪的望著我，說道：「你如何還想著我？想著我，你又如何能對他？你要是當真愛我，你應該把愛我的心愛他，你應該把待我的情待他。」他的話句句都不錯：——上帝幫我！我「應該」這樣做！
290	一顆星兒		現代	胡適	我喜歡你這顆頂大的星兒。可惜我叫不出你的名字。平日月明時，月光遮盡了滿天星，總不能遮住你。今天風雨後，悶沉沉的天氣，我望遍天邊，尋不見一點半點光明，回轉頭來，只有你在那楊柳高頭依舊亮晶晶地。
291	我的兒子		現代	胡適	我實在不要兒子，兒子自己來了。「無後主義」的招牌，於今掛不起來了！譬如樹上開花，花落偶然結果。那果便是你，那樹更是我。樹本無心結子，我也無恩於你。但是你即來了，我不能不養你教你，那是我對人道的義務，並不是待你的恩誼。將來你長大時，莫忘了我怎樣教訓兒子：我要你做一個堂堂的人，不要你做我的孝順兒子。
292	紀夢		現代	胡適	夢裏得他書，稱呼太客氣：上面稱先生，自己稱名字。我初頗介意，轉念還喜歡。有書終勝無，遠道得書難。老友久離別，相思不消說。三年夢一書，醒來書也無。
293	蔚藍的天上		現代	胡適	蔚藍的天上，這裏那裏浮著兩三片白雲。暖和的日光斜照著一層一層的綠樹，斜照著黃澄澄的琉璃瓦：——只有那望不盡的紅牆，襯得住這些顏色！下邊，一湖新出水的荷葉，在涼風裏笑的狂抖。那黝綠的湖水也吹起幾點白浪，陪著那些笑彎了腰的綠衣女郎微笑！
294	一笑		現代	胡適	十幾年前，一個人對我笑了一笑。我當時不懂得什麼，只覺得他笑的很好。那個人後來不知怎樣了，只是他那一笑還在：我不怛忘不了他，還覺得他越久越可愛。我借他做了許多情詩，我替他想出種種境地：有的人讀了傷心，有的人讀了歡喜。歡喜也罷，傷心也罷，其實只是那一笑我也許不會再見著那笑的人，但我很感謝他笑的真好。
295	我們三個朋友		現代	胡適	雲全消了，春將到了，只是寒威如舊。冷風怒號，萬松狂嘯，伴著我們三個朋友。風稍歇了，人將別了，——我們三個朋友。寒流禿樹，溪橋人語，——此會何時重有？別三年了！月半圓了，照著一湖荷葉。照著鐘山，照著臺城，照著高樓清絕。別三年了，又是一種山川了，——依舊我們三個朋友。此景無雙，此日最難忘，——讓我的新詩祝你們長壽！
296	湖上		現代	胡適	水上一個螢火，水裏一個螢火，平排著，輕輕地，打我們的船邊飛過。他們倆兒越飛越近，漸漸地併作了一個。
297	藝術		現代	胡適	我忍著一副眼淚，扮演了幾場苦戲。一會兒替人傷心，一會兒替人著急。我是一個多情的人，這副眼淚如何忍得？做到了最傷心處，我的眼淚熱滾滾的直滴。台下的人看見了，不住的拍手叫好。他們看他們的戲，那懂得我的煩惱？
298	夢與詩		現代	胡適	都是平常經驗，都是平常影像，偶然湧到夢中來，變幻出多少新奇花樣！都是平常情感，都是平常言語，偶然碰著個詩人，變幻出多少新奇詩句！醉過方知酒濃，愛過方知情重 —— 你不能做我的詩，正如我不能做你的夢。
299	十一月二十四夜		現代	胡適	老槐樹的影子在月光的地上微晃。棗樹上還有幾個乾葉，時時做出一種沒氣力的聲響。西山的秋色幾回招我，不幸我被我的病拖住了。現在他們說我快要好了，那幽豔的秋天早已過去了。
300	醉與愛		現代	胡適	你醉裏何嘗知酒力？你只和衣倒下就睡了。你醒來自己笑道，「昨晚當真喝醉了！」愛裏也只是愛，——和酒醉很相像的。直到你後來追想，「哦！愛情原來是這麼樣的！」
301	希望		現代	胡適	我從山中來，帶來蘭花草。種在小園中，希望開花好。一日望三回，望到花時過。急壞看花人，苞也無一個。眼見秋天到，移花供在家。明年春風回，祝汝滿盆花！
302	晨星篇 (3-1)		現代	胡適	我們去年那夜，豁蒙樓上同坐。月在鍾山頂上，照見我們三個。我們吹了燭光，放進月光滿地。我們說話不多，只覺得許多詩意。我們做了一首詩，——一首沒有字的詩，先寫著黑暗的夜，後寫著晨光來遲。在那欲去未去的夜色裏，我們寫著幾顆小晨星，雖沒有多大的光明，也使那早行的人高興。鍾山上的月色和我們別了一年多了。他這回照見你們，定要笑我們這一年匆匆過了。他念著我們的舊詩，問道：「你們的晨星呢？四百個長夜過去了，你們造的光明呢？」
303	晨星篇 (3-2)		現代	胡適	"我的朋友們,我們要暫時分別了。「珍重珍重」的話,我也不再說了。 —— 在這欲去未去的夜色裏,努力造幾顆小晨星。雖沒有多大的光明,也使那早行的人高興!"
304	去國行		現代	胡適	木葉去故枝，遊子將遠離。故人與昆弟，送我江之湄。執手一為別，慘愴不能辭。從茲萬里役，況復十年歸！金風正蕭瑟，別淚沾客衣。丈夫宜壯別，而我獨何為　扣舷一凝睇，一髮是中原。揚冠與汝別，征衫有淚痕。高邱豈無女，猙獰百鬼蹲。蘭蕙日荒穢，群盜滿國門。搴裳渡重海，何地招汝魂！揮淚重致詞：祝汝長壽年！
305	翠樓吟		現代	胡適	霜梁寒林，風摧敗葉，天涯第一重九。登臨山徑曲，聽萬壑松濤驚吼。山前山後，更何處能尋黃花茱酒　沉吟久，溪橋歸晚，夕陽遙岫。應念鱸膾蓴羹，祗季鷹羈旅，此言終負。故園三萬里，但夢裏桑麻柔茂。最難回首，願丁令歸來，河山如舊！今何有，倚樓遊子，淚痕盈袖。
306	水龍吟		現代	胡適	無邊橡紫榆黃，更青青映松無數。平生每道，一年佳景，莫如秋暮。傾倒天工，染渲秋色，清新如許。使詞人憨絻，殷殷私祝：「秋無恙，秋常住！」悽愴都成願。有西風任情相妒。蕭颼木末，亂楓爭墜，紛紛如雨。風捲平蕪，淺黃新赭，一時飛舞。且徘徊，陌上溪頭，黯黯看秋歸去。
307	老樹行		現代	胡適	道旁老樹吾所思，軀幹十抱龍髯枝，藹然俛視長林卑。冬風挾雪捲地起，撼樹兀兀不可止，行人疾走敢仰視　春回百禽還來歸，枝頭好鳥天籟奇，謂卿高唱我和之。狂風好鳥年年事：—— 既鳥語所不能媚，亦不因風易高致。
308	秋柳		現代	胡適	但見蕭颼萬葉摧，尚餘垂柳拂人來。西風莫笑長條弱，也向西風舞一回。
309	感遇 (其一)		唐	張九齡	孤鴻海上來，池潢不敢顧。側見雙翠鳥，巢在三珠樹。矯矯珍木巔，得無金丸懼？美服患人指。高明逼神惡。今我遊冥冥，弋者何所慕？
310	感遇 (其二)		唐	張九齡	蘭葉春葳蕤，桂花秋皎潔。欣欣此生意，自爾為佳節。誰知林棲者？聞風坐相悅。草木有本心，何求美人折？
311	感遇 (其三)		唐	張九齡	幽人歸獨臥，滯慮洗孤清。持此謝高鳥，因之傳遠情。日夕懷空意，人誰感至精？飛沉理自隔，何所慰吾誠？
312	感遇 (其四)		唐	張九齡	江南有丹橘，經冬猶綠林。豈伊地氣暖？自有歲寒心。可以薦嘉客，奈何阻重深？運命惟所遇，循環不可尋。徒言樹桃李，此木豈無陰？
313	下終南山過斛斯山人宿置酒		唐	李白	暮從碧山下，山月隨人歸。卻顧所來徑，蒼蒼橫翠微。相攜及田家，童稚開荊扉。綠竹入幽徑，青蘿拂行衣。歡言得所憩，美酒聊共揮。長歌吟松風，曲盡河星稀。我醉君復樂，陶然共忘機。
314	春思		唐	李白	燕草如碧絲，秦桑低綠枝。當君懷歸日，是妾斸腸時。春風不相識，何事入羅幃？
315	望岳		唐	杜甫	岱宗夫如何？齊魯青未了。造化鍾神秀，陰陽割昏曉。盪胸生層雲，決眥入歸鳥。會當凌絕頂，一覽眾山小。
316	贈衛八處士		唐	杜甫	人生不相見，動如參與商。今夕復何夕？共此燈燭光。少壯能幾時？鬢髮各已蒼。訪舊半為鬼，驚呼熱中腸。焉知二十載，重上君子堂。昔別君未婚，兒女忽成行。怡然敬父執，問我來何方。問答乃未已，驅兒羅酒漿。夜雨剪春韭，新炊間黃粱。主稱會面難，一舉累十觴。十觴亦不醉，感子故意長。明日隔山岳，世事兩茫茫。
317	佳人		唐	杜甫	絕代有佳人，幽居在空谷。自云良家子，零落依草木。關中昔喪亂，兄弟遭殺戳。官高何足論？不得收骨肉。世情惡衰歇，萬事隨轉燭。夫婿輕薄兒，新人美如玉。合昏尚知時，鴛鴦不獨宿。但見新人笑，那聞舊人哭。在山泉水清，出山泉水濁。侍婢賣珠迴，牽蘿補茅屋。摘花不插髮，采柏動盈掬。天寒翠袖薄，日暮倚修竹。
318	夢李白 (其一)		唐	杜甫	死別已吞聲，生別長惻惻。江南瘴癘地，逐客無消息。故人入我夢，明我長相憶。君今在羅網，何以有羽翼？恐非平生魂，路遠不可測。魂來楓林青，魂返關山黑。落月滿屋樑，猶疑照顏色。水深波浪闊，無使蛟龍得。
319	夢李白 (其二)		唐	杜甫	浮雲終日行，遊子久不至。三夜頻夢君，情親見君意。告歸常局促，苦道來不易。江湖多風波，舟楫恐失墜。出門搔白首，苦負平生志。冠蓋滿京華，斯人獨憔悴。孰云網恢恢？將老身反累! 千秋萬歲名，寂寞身後事。
320	青谿		唐	王維	言入黃花川，每逐青谿水。隨山將萬轉，趣途無百里。聲喧亂百中，色靜深松裏。漾漾汎菱荇，澄澄映葭葦。我心素已閒，清川澹如此。請留盤石上，垂釣將已矣。
321	渭川田家		唐	王維	斜陽照墟落，窮巷牛羊歸。野老念牧童，倚杖候荊扉。雉雊麥苗秀，蠶眠桑葉稀。田夫荷鋤至，相見語依依。即此羨閒逸，悵然吟式微。
322	西施詠		唐	王維	艵色天下重，西施寧久微？朝為越溪女，暮作吳宮妃。賤日豈殊眾？貴來方悟稀。邀人傅香粉，不自著羅衣。君寵益驕態，君憐無是非。當時浣紗伴，莫得同車歸。持謝鄰家子，效顰安可希？
323	秋登蘭山寄張五		唐	孟浩然	北山白雲裏，隱者自相悅。相望試登高，心隨雁飛滅。愁因薄暮起，興是清秋發。時見歸村人，沙行渡頭歇。天邊檥若薺，江畔洲如月。何當載酒來，共醉重陽節。
324	尋西山隱者不遇		唐	邱為	絕頂一茅茨，直上三十里。扣關無僮僕，窺室惟茶几。若非巾柴車？應是釣秋水。差池不相見，黽勉空仰止。草色新雨中，松聲晚窗裏。及茲契幽絕，自足蕩心耳。雖無賓主意，頗得清淨理。興盡方下山，何必待之子。
325	春泛若耶溪		唐	綦毋潛	幽意無斷絕，此去隨所偶。晚風吹行舟，花路入溪口。際夜轉西壑，隔山望南斗。潭煙飛溶溶，林月低向後。生事且瀰瀰，願為持竿叟。
326	宿王昌齡隱居		唐	常建	清溪深不測，隱處惟孤雲。松際露微月，清光猶為君。茅亭宿花影，藥院滋苔紋。余亦謝時去，西山鸞鶴群。
327	與高適薛據登慈恩寺浮圖		唐	岑參	"塔勢如湧出,孤高聳天宮。登臨出世界,磴道盤虛空。突兀壓神州,崢嶸如鬼工。四角礙白日,七層摩蒼穹。下窺指高鳥,俯聽聞驚風。連山若波濤,奔湊如朝東。青槐夾馳道,宮館何玲瓏？秋色從西來,蒼然滿關中。五陵北原上,萬古青濛濛。淨理了可悟,勝因夙所宗。誓將挂冠去,覺道資無窮。"
328	賊退示官吏		唐	元結	昔年逢太平，山林二十年。泉源在庭戶，洞壑當門前。井稅有常期，日晏猶得眠，忽然遭世變，數歲親戎旃。今來並斯郡，山夷又紛然。城小賊不屠，人貧傷可憐？是以陷鄰境，此州獨見全。使臣將王命，豈不如賊焉？令彼徵歛者，迫之如火煎。誰能絕人命？以作時世賢。思欲委符節，引竿自刺船。將家就魚麥，歸老江湖邊。
329	郡齋中雨與諸文士燕集		唐	韋應物	兵衛森畫戟，宴寢凝清香。海上風雨至，逍遙池閣涼。煩痾近消散，嘉賓復滿堂。自慚居處崇，未瞻斯民康。理會是非遣，性達形跡忘。鮮肥屬時禁，蔬果幸見嘗。俯飲一杯酒，仰聆金玉章。神歡體自輕，意欲凌風翔。吳中盛文史，群彥今汪洋。方知大藩地，豈曰財賦強？
330	初發揚子寄元大校書		唐	韋應物	悽悽去親愛，泛泛入煙霧。歸棹洛陽人，殘鐘廣陵樹。今朝為此別，何處還相遇？世事波上舟，沿洄安得住？
331	寄全椒山中道士		唐	韋應物	今朝郡齋冷，忽念山中客。澗底束荊薪，歸來煮白百。欲持一瓢酒，遠慰風雨夕。落葉滿空山，何處尋行跡？
332	長安遇馮著		唐	韋應物	客從東方來，衣上灞陵雨。問客何為來？采山因買斧。冥冥花正開，颺颺燕新乳。昨別今已春，鬢絲生幾縷。
333	夕次盱眙縣		唐	韋應物	落帆逗淮鎮，停舫臨孤驛。浩浩風起波，冥冥日沉夕。人歸山郭暗，雁下蘆洲白。獨夜憶秦關，聽鐘未眠客。
334	東郊		唐	韋應物	吏舍跼終年，出郭曠清曙。楊柳散和風，青山澹吾慮。依叢適自憩，緣澗還復去。微雨靄芳原，春鳩鳴何處？樂幽心屢止，遵事跡猶遽。終罷斯結廬，慕陶直可庶。
335	送楊氏女		唐	韋應物	永日方慼慼，出行復悠悠。女子今有行，大江泝輕舟。爾輩苦無恃，撫念益慈柔。幼為長所育，兩別泣不休。對此結中腸，義往難復留。自小闕內訓，事姑貽我憂。賴茲托令門，仁卹庶無尤。貧儉誠所尚，資從豈待周！孝恭遵婦道，容止順其猷。別離在今晨，見爾當何秋？居閒始自遣，臨感忽難收。歸來視幼女，零淚緣纓流。
336	晨詣超師院讀禪經		唐	柳宗元	汲井漱寒齒，清心拂塵服，閒持貝葉書，步出東齋讀。真源了無取，妄跡世所逐。遺言冀可冥，繕性何由熟？道人庭宇靜，苔色連深竹。日出霧露餘，青松如膏沐。淡然離言說，悟悅心自足。
337	溪居		唐	柳宗元	久為簪組束，幸此南夷謫。閒依農圃鄰，偶似山林客。曉耕翻露草，夜榜響谿石。來往不逢人，長歌楚天碧。
338	塞上曲		唐	王昌齡	蟬鳴空桑林，八月蕭關道。出塞復入塞，處處黃蘆草。從來幽并客，皆共塵沙老。莫學游俠兒，矜誇紫騮好。
339	塞下曲		唐	王昌齡	飲馬渡秋水，水寒風似刀。平沙日未沒，黯黯見臨洮。昔日長城戰，咸言意氣高。黃塵足今古，白骨亂蓬蒿。
340	關山月		唐	李白	明月出天山，蒼茫雲海間。長風幾萬里，吹度玉門關。漢下白登道，胡窺青海灣。由來征戰地，不見有人還。戍客望邊邑，思歸多苦顏。高樓當此夜，嘆息未應閒。
341	子夜秋歌		唐	李白	長安一片月，萬戶擣衣聲。秋風吹不盡，總是玉關情。何日平胡虜？良人罷遠征。
342	長干行		唐	李白	妾髮初覆額，折花門前劇。郎騎竹馬來，繞床弄青梅。同居長干里，兩小無嫌猜。十四為君婦，羞顏未嘗開。低頭向暗壁，千喚不一回。十五始展眉，願同塵與灰。常存抱柱信，豈上望夫臺？十六君遠行，瞿塘灩澦堆。五月不可觸，猿聲天上哀。門前遲行跡，一一生綠苔。苔深不能掃，落葉秋風早。八月蝴蠂黃，雙飛西園草。感此傷妾心，坐愁紅顏老。早晚下三巴，預將書報家。相迎不道遠，直至長風沙。
343	烈女操		唐	孟郊	梧桐相待老，鴛鴦會雙死。貞婦貴殉夫，捨生亦如此。波瀾誓不起，妾心古井水。
344	遊子吟		唐	孟郊	慈母手中線，遊子身上衣。臨行密密縫，意恐遲遲歸。誰言寸心，報得三春暉？
345	登幽州臺歌		唐	陳子昂	前不見古人，後不見來者。念天地之悠悠，獨愴然而淚下。
346	古意		唐	李頎	男兒事長征，少小幽燕客。賭勝馬蹄下，由來輕七尺。殺人莫敢前，鬚如蝟毛磔。黃雲隴底白雲飛，未遼東小婦年十五，慣彈琵琶解歌舞。今為羌笛出塞聲，使我三軍淚如雨。
347	送陳章甫		唐	李頎	四月南風大麥黃，棗花未落桐葉長。青山朝別暮還見，嘶馬出門思故鄉。陳侯立身何坦蕩？虯鬚虎眉仍大顙。腹中貯書一萬卷，不肯低頭在草莽。東門酤酒我曹，心輕萬事如鴻毛。醉臥不知白日暮，有時望孤雲高。長河浪頭連天黑，津吏停舟渡不得。鄭國遊人未及家，洛陽行子空嘆息。聞道故林相識多，罷官昨日今如何。
348	聽董大彈胡笳兼寄語弄房給事		唐	李頎	"蔡女昔造胡茄聲,一彈一十有八拍。胡人落淚沾邊草,漢使斷腸對歸客。古戍蒼蒼烽火寒,大荒沈陰飛雪白。先拂商弦後角羽,四郊秋葉驚慼慼。董夫子,通神明,深松竊聽來妖精。言遲更速皆應手,將往復旋如有情。空山百鳥散還合,萬里浮雲陰且晴。嘶酸雛雁失群夜,斷絕胡兒戀母聲。川為靜其波，鳥亦罷其鳴。烏珠部落家鄉遠，邏娑沙塵哀怨生。幽音變調忽飄灑，長風吹林雨墮瓦。迸泉颯颯飛木末，野鹿呦呦走堂下。長安城連東掖垣，鳳凰池對青瑣門。高才脫略名與利，日夕望君抱琴至。"
349	聽安萬善吹觱篥歌		唐	李頎	南山截竹為觱篥，此樂本自龜茲出。流傳漢地曲轉奇，涼州胡人為我吹。傍鄰聞者多嘆息，遠客思鄉皆淚垂。世人解聽不解賞，長飆風中自來往。枯桑老柏寒颼飀，九雛鳴鳳亂啾啾。龍吟虎嘯一時發，萬籟百泉相與秋。忽然更作漁陽滲，黃雲蕭條白日暗。變調如聞楊柳春，上林繁花照眼新。歲夜高堂列明燭，美酒一杯聲一曲。
350	夜歸鹿門歌		唐	孟浩然	山寺鳴鐘晝已昏，漁梁渡頭爭渡喧。人隨沙岸向江村，余亦乘舟歸鹿門。鹿門月照開煙樹，忽到龐公棲隱處。岩扉松逕長寂寥，惟有幽人自來去。
351	廬山謠寄盧侍御虛舟		唐	李白	我本楚狂人，狂歌笑孔丘。手持綠玉杖，朝別黃鶴樓。五岳尋山不辭遠，一生好入名山遊。廬山秀出南斗傍，屏風九疊雲錦張。影落明湖青黛光，金闕前開二峰長。銀河倒挂三石梁，香爐瀑布遙相望。迴崖沓障凌蒼蒼，翠影紅霞映朝日，鳥飛不到吳天長。登高壯觀天地間，大江茫茫去不還。黃雲萬里動風色，白波九道流雪山。好為廬山謠，興因廬山發。閒窺石鏡清我心，謝公行處蒼苔沒。早服還丹無世情，琴心三疊道初成。遙見仙人彩雲裏，手把芙蓉朝玉京。先期汗漫九垓上，願接盧敖遊太清。
352	夢遊天姥吟留別 (3-1)		唐	李白	海客談瀛洲，煙濤微茫信難求。越人語天姥，雲霞明滅或可睹。天姥連天自天橫，勢拔五岳掩赤城。天臺四萬八千丈，對此欲倒東南傾。我欲困之夢吳越，一夜飛渡鏡湖月。湖月照我影，送我至剡溪。謝公宿處今尚在，綠水蕩漾清猿啼。腳著謝公屐，身登青雲梯。
353	夢遊天姥吟留別 (3-2)		唐	李白	半壁見海日，空中聞天雞。千岩萬壑路不定，迷花倚百忽已暝。熊咆龍吟殷岩泉，慄深林兮驚層巔。雲青青兮欲雨，水澹澹兮生煙。列缺霹靂，邱巒崩摧，洞天石扉，訇然中開。青冥浩蕩不見底，日月照耀金銀臺。霓為衣兮風為馬，雲之君兮紛紛而來下。虎鼓瑟兮鸞回車，仙之人兮列如麻
354	夢遊天姥吟留別 (3-3)		唐	李白	忽魂悸兮魄動，怳驚起而長嗟。惟覺時之枕席，失向來之煙霞。世間行樂亦如此，古來萬事東流水。別君去兮何時還？且放白鹿青崖間。須行即騎訪名山，安能摧眉折腰事權貴，使不得開心顏？
355	金陵酒肆留別		唐	李白	風吹柳花滿店香，吳姬壓酒喚客嘗。金陵子弟來相送，欲行不行各盡觴。請君試問東流水，別意與之誰短長？
356	宣州謝朓樓餞別校書叔雲		唐	李白	棄我去者，昨日之日不可留。亂我心者，今日之日多煩憂。長風萬里送秋雁，對此可以酣高樓。蓬萊文章建安骨，中間小謝又清發，俱懷逸興壯思飛，欲上青天攬明月。抽刀斷水水更流，舉杯消愁愁更愁。人生在世不稱意，明朝散髮弄扁舟。
